
21-08-2023 12:54:23;0.0001;32;2;0.1;Adam;loss.py;0.052667346245327894; 0.20972627652673523; -252820.7618607713
21-08-2023 12:57:29;0.0001;32;2;0.2;Adam;loss.py;0.052667346245327894; 0.26102336437772217; -234543.93770971373
22-08-2023 11:04:16;0.0001;32;1;0.0;Adam;loss.py;0.04478317193340129; 0.2433866570907855; 8.389587291195163
22-08-2023 11:18:35;0.0001;32;10;0.0;Adam;loss.py;0.04478558520989714; 0.24338424381428966; 8.389724847940697
22-08-2023 11:28:04;0.001;32;10;0.0;Adam;loss.py;0.01323585626911315; 0.15438791585580577; 14.197448491159038
22-08-2023 11:37:30;0.01;32;10;0.0;Adam;loss.py;0.031175671083927964; 0.3052722368949433; 8.967697811418352
22-08-2023 11:46:54;0.1;32;10;0.0;Adam;loss.py;0.03530092592592592; 0.3487551354523831; 7.689040153074378
22-08-2023 11:56:51;0.0001;32;10;0.1;Adam;loss.py;0.03993586476384642; 0.20198062428567015; 10.53183015171379
22-08-2023 12:06:25;0.001;32;10;0.1;Adam;loss.py;0.009224508077719087; 0.15973428860470146; 15.888628737682637
22-08-2023 12:15:59;0.01;32;10;0.1;Adam;loss.py;0.031552624872579; 0.283231300003089; 6.974209314133089
22-08-2023 12:25:32;0.1;32;10;0.1;Adam;loss.py;0.02281077209402898; 0.16458159577425632; 13.003190834182806
22-08-2023 12:35:27;0.0001;32;10;0.2;Adam;loss.py;0.030251868841318384; 0.3233375420875421; 8.755110837066008
22-08-2023 12:45:05;0.001;32;10;0.2;Adam;loss.py;0.02660975195378865; 0.21503693278349242; 10.322931628951482
22-08-2023 12:54:45;0.01;32;10;0.2;Adam;loss.py;0.047087368331634384; 0.29002274271769685; 6.40678574744836
22-08-2023 13:04:23;0.1;32;10;0.2;Adam;loss.py;0.05129708785098694; 0.25805841287492665; 7.620227504416546
22-08-2023 13:14:29;0.0001;32;10;0.5;Adam;loss.py;0.030846500169894667; 0.30433540295925615; 8.993972118071785
22-08-2023 13:24:12;0.001;32;10;0.5;Adam;loss.py;0.043970863064899765; 0.321478836530442; 5.677321765036393
22-08-2023 13:33:55;0.01;32;10;0.5;Adam;loss.py;0.017807084607543322; 0.1980141630370988; 12.429028434247902
22-08-2023 13:43:29;0.1;32;10;0.5;Adam;loss.py;0.04832682713990054; 0.3226652032557996; 5.66687662172917
22-08-2023 13:53:24;0.0001;32;10;0.8;Adam;loss.py;0.042322112562938254; 0.41819620130973345; 6.67442728125883
22-08-2023 14:02:54;0.001;32;10;0.8;Adam;loss.py;0.0417409955827387; 0.2672375513545238; 8.653000281936977
22-08-2023 14:12:24;0.01;32;10;0.8;Adam;loss.py;0.0030368671423717294; 0.14547954699904242; 14.26534505997067
22-08-2023 14:21:47;0.1;32;10;0.8;Adam;loss.py;0.0570416512216971; 0.22388979628085134; 9.206942803431156
Added x = F.log_softmax(x, dim=1) to forward
22-08-2023 14:45:59;0.0001;1;1;0.0;Adam;loss.py;0.04478554969151862; 0.24339233946756433; 8.389583842159476
22-08-2023 15:03:04;0.001;1;1;0.0;Adam;loss.py;0.04080874154463689; 0.29137420224910004; 7.065901392148326


New Params Module
22-08-2023 16:46:51;0.0001;1;1;0.0;Adam;loss.py;;0.04478554969151862; 0.24339233946756433; 8.389583842159476
22-08-2023 17:04:10;0.0001;1;1;0.1;Adam;loss.py;;0.04080874154463689; 0.29137420224910004; 7.065901392148326
22-08-2023 17:24:07;0.0001;1;1;0.2;Adam;loss.py;;0.025039555701861508; 0.1459366471631394; 10.28601161716452
22-08-2023 17:44:43;0.0001;1;1;0.5;Adam;loss.py;;0.04728631956759512; 0.1597731785793928; 9.81801191449597
22-08-2023 18:05:20;0.0001;1;1;0.8;Adam;loss.py;;0.0561584776629748; 0.3365154877828631; 7.375874738507608
22-08-2023 18:07:09;0.0001;32;1;0.0;Adam;loss.py;;0.025441726129799523; 0.26380538952213267; 9.71786818875369
22-08-2023 18:09:00;0.0001;32;1;0.1;Adam;loss.py;;0.00022829595650696567; 0.07897929987952924; 19.012324120615194
22-08-2023 18:10:53;0.0001;32;1;0.2;Adam;loss.py;;0.05113250239397029; 0.33220005869088437; 5.645462654093031
22-08-2023 18:12:44;0.0001;32;1;0.5;Adam;loss.py;;0.010560015290519878; 0.10906175671083929; 14.655607103288801
22-08-2023 18:14:34;0.0001;32;1;0.8;Adam;loss.py;;0.034071120223643156; 0.37247860871714084; 7.314143441301035
22-08-2023 18:35:30;0.001;1;1;0.0;Adam;loss.py;;0.05187902857567616; 0.20970362425799874; 9.123684573807223
22-08-2023 18:56:19;0.001;1;1;0.1;Adam;loss.py;;0.02884646016289516; 0.2384173471663251; 10.067950855358868
22-08-2023 19:17:05;0.001;1;1;0.2;Adam;loss.py;;0.02044153720359771; 0.19003727262108291; 11.062004226354185
22-08-2023 19:37:48;0.001;1;1;0.5;Adam;loss.py;;0.018970808422975226; 0.13673530067642906; 12.144211062853746
22-08-2023 19:58:24;0.001;1;1;0.8;Adam;loss.py;;0.05307897335697826; 0.21303798409276742; 8.983322891335973
22-08-2023 20:00:14;0.001;32;1;0.0;Adam;loss.py;;0.04672103295956507; 0.24925767614987798; 6.909854952429494
22-08-2023 20:02:04;0.001;32;1;0.1;Adam;loss.py;;0.05156013498903408; 0.2534784967411114; 7.094499563709069
22-08-2023 20:03:51;0.001;32;1;0.2;Adam;loss.py;;0.023068510023785252; 0.24909405600345966; 9.946808972813992
22-08-2023 20:05:38;0.001;32;1;0.5;Adam;loss.py;;0.03664415562351342; 0.36094218175640197; 6.478216318382603
