27;25
26;26
25;25
24;24
23;23
22;22
21;21
20;20
19;19
18;18
17;17
16;16
15;15
14;14
13;13
12;12
11;11
10;10
9;9
8;8
7;7
6;6
5;5
4;4
3;3
2;2
1;1
27;25
26;26
25;25
24;24
23;23
22;22
21;21
20;20
19;19
18;18
17;17
16;16
15;15
14;14
13;13
12;12
11;11
10;10
9;9
8;8
7;7
6;6
5;5
4;4
3;3
2;2
1;1
11;11
10;10
9;9
8;8
7;7
6;6
5;5
4;4
3;3
2;2
1;1
21;17
20;14
19;19
18;18
17;17
16;16
15;15
14;14
13;13
12;12
11;11
10;10
9;9
8;8
7;7
6;6
5;5
4;4
3;3
2;2
1;1
3;7
2;2
1;1
29;27
28;26
27;25
26;26
25;25
24;24
23;23
22;22
21;21
20;20
19;19
18;18
17;17
16;16
15;15
14;14
13;13
12;12
11;11
10;10
9;9
8;8
7;7
6;6
5;5
4;4
3;3
2;2
1;1
15;13
14;14
13;13
12;12
11;11
10;10
9;9
8;8
7;7
6;6
5;5
4;4
3;3
2;2
1;1
17;15
16;14
15;15
14;14
13;13
12;12
11;11
10;10
9;9
8;8
7;7
6;6
5;5
4;4
3;3
2;2
1;1
17;19
16;16
15;15
14;14
13;13
12;12
11;11
10;10
9;9
8;8
7;7
6;6
5;5
4;4
3;3
2;2
1;1
13;13
12;12
11;11
10;10
9;9
8;8
7;7
6;6
5;5
4;4
3;3
2;2
1;1
23;23
22;22
21;21
20;20
19;19
18;18
17;17
16;16
15;15
14;14
13;13
12;12
11;11
10;10
9;9
8;8
7;7
6;6
5;5
4;4
3;3
2;2
1;1
23;25
22;22
21;21
20;20
19;19
18;18
17;17
16;16
15;15
14;14
13;13
12;12
11;11
10;10
9;9
8;8
7;7
6;6
5;5
4;4
3;3
2;2
1;1
9;9
8;8
7;7
6;6
5;5
4;4
3;3
2;2
1;1
23;25
22;20
21;21
20;20
19;19
18;18
17;17
16;16
15;15
14;14
13;13
12;12
11;11
10;10
9;9
8;8
7;7
6;6
5;5
4;4
3;3
2;2
1;1
15;15
14;14
13;13
12;12
11;11
10;10
9;9
8;8
7;7
6;6
5;5
4;4
3;3
2;2
1;1
3;11
2;2
1;1
23;23
22;20
21;19
20;20
19;15
18;14
17;13
16;16
15;15
14;14
13;13
12;12
11;11
10;10
9;9
8;8
7;7
6;6
5;5
4;4
3;3
2;2
1;1
19;17
18;18
17;17
16;16
15;15
14;14
13;13
12;12
11;11
10;10
9;9
8;8
7;7
6;6
5;5
4;4
3;3
2;2
1;1
23;25
22;24
21;21
20;20
19;19
18;18
17;17
16;16
15;15
14;14
13;13
12;12
11;11
10;10
9;9
8;8
7;7
6;6
5;5
4;4
3;3
2;2
1;1
25;23
24;24
23;21
22;22
21;21
20;20
19;19
18;18
17;17
16;16
15;15
14;14
13;13
12;12
11;11
10;10
9;9
8;8
7;7
6;6
5;5
4;4
3;3
2;2
1;1
19;19
18;18
17;17
16;16
15;15
14;14
13;13
12;12
11;11
10;10
9;9
8;8
7;7
6;6
5;5
4;4
3;3
2;2
1;1
21;21
20;18
19;19
18;18
17;15
16;14
15;15
14;14
13;13
12;12
11;11
10;10
9;9
8;8
7;7
6;6
5;5
4;4
3;3
2;2
1;1
15;13
14;14
13;9
12;12
11;11
10;10
9;9
8;8
7;7
6;6
5;5
4;4
3;3
2;2
1;1
21;19
20;20
19;19
18;18
17;17
16;16
15;15
14;14
13;13
12;12
11;11
10;10
9;9
8;8
7;7
6;6
5;5
4;4
3;3
2;2
1;1
9;9
8;8
7;7
6;6
5;5
4;4
